"국가및권역별","전산업·소재부품장비산업별","항목","단위","2012.01 월","2012.02 월","2012.03 월","2012.04 월","2012.05 월","2012.06 월","2012.07 월","2012.08 월","2012.09 월","2012.10 월","2012.11 월","2012.12 월","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월",
"전체","전산업","수출액[$]","$","41200357940","46316183638","47329816570","46094754124","46872357095","47162604994","44667681428","43045181248","45412538010","47087760006","47805245779","44875311309","45673108992","42331836668","47312703650","46157925207","48307560429","46690983225","45829520579","46311340570","44650485857","50480484208","47905028162","47981456248","45559632455","42911734549","49064391958","50267447896","47577182544","47827709150","48204545437","46108369810","47446217249","51630656639","46605342145","49461377231","45105389265","41472190637","46822771337","46221931023","42327311014","46554511646","45695746774","39107399172","43432312357","43352045560","44285051775","42379842806","36260420221","35924540736","43002467958","41081552585","39733793730","45209071390","40881700213","40124791131","40846251917","41983329283","45309140839","45068879634","40256999916","43166536042","48637831863","50843799013","44926979168","51272451919","48830439652","47105568514","55115239696","44791238727","49707196884","49040139428","49221290908","44523529594","51309931550","49850235277","50687749864","51079375327","51810254527","51180449254","50650208140","54860309595","51479529532","48206793082","46168934249","39481803311","47003206185","48781156049","45703948228","44008404018","46078221134","44020065156","44629052707","46648756033","44040721772","45668341127","43103060857","40911818805","46167203855","36270182837","34854511400","39214070630","42785144050","39469230580","47819947522","44818534427","45751883232","51332449396","48006973697","44706906918","53690914321","51225991397","50725161248","54778904949","55461518159","53165103786","55913862375","55660372637","60330542263","60734116670","55426828234","53912245326","63477507377",
"전체","전산업","수입액[$]","$","43517290617","45099984295","45053405629","43957175504","44480338601","41993629221","41976900097","41115675023","42559535172","43379892882","43381536728","43069108906","45296942393","40458471528","43976738918","43648240730","42389874292","40719393779","43384403453","41593821429","41055405226","45604963423","43106074255","44351185613","44746013067","42061553951","45558674670","45873332924","42607482640","42476380665","45863915730","42791869289","44184711623","44097421222","41343254092","43909895859","39283024626","33998316032","38485935068","37858797981","36039799633","36598397721","38647066671","34772163390","34540503816","36762974692","34049681859","35462311136","31321900755","29163323250","33344422648","32388783069","33025444474","33890230717","33371801921","35103610718","33988442821","35050111654","37240857984","38303957084","37645402844","36203282097","42579491534","37959391334","39287764130","40551012440","38607156599","40549771657","41695883517","37856561572","42013512269","43529066002","45805321803","41722153612","44897837550","43693962593","44458729052","45000163698","44917043970","44360777913","41032927952","48480617998","46808198655","44024693595","45153389095","36651437378","41992348876","45047163825","43619667298","40104811661","43762245132","42457250491","38741472840","41396516696","40729214640","43687429503","42718100490","36977247225","41803860118","37932611485","34661974379","35794860130","38849185276","35817928845","39400189613","39093795482","39944763402","44638246184","44456822075","42404636049","49742554865","50891151895","47910521600","50429026829","53676255790","51581092948","51636341037","53847824499","57357549236","61159670671","60157241862","53081675541","63526224200",
"전체","소재·부품·장비산업","수출액[$]","$","20661484408","23110789066","23900819389","23146211627","23959315734","23615942194","24548451240","23503490649","24669632001","24577945551","25101994251","23969001930","23983542935","22441760184","24835089761","25224670357","26036122477","23542951208","25200595869","24591454733","24425874441","26650814511","24926541990","25833370714","23812189943","23083753187","25712309309","26604538482","24738738696","25105835739","26115869758","24571202912","26268983771","27561360231","25699315535","27672995526","24999787493","22443918256","26198574885","26257471705","24040881511","24872609888","25457746139","22714707386","24455699842","24817802158","22805992916","23708898259","20618408997","20246993691","23629630395","22065623237","22545228423","23510198804","23150717561","22647092581","23673815530","23556044502","24399037564","25035554593","22537353395","24032444297","26382982354","25657762415","25417990714","26294067091","25467065040","26728794568","29263764747","24586581610","28187950754","27594819270","28018701618","25230478853","29418880340","28574419692","30345199158","30079942659","30625667891","30684206698","29610531559","31493930139","29841075490","27095713476","26463669929","22804134205","27027159037","27256411878","26155030355","24402309473","26403450572","25072763217","25540440448","26507190262","25064153901","25868356274","24204567980","23685899881","26674048856","21914799691","20738322258","23122617398","24424769841","23587343983","27889703589","26371191579","27243182813","30276757849","26982317930","25764332778","29967792033","29270351862","28921591624","30903858864","31198157430","30605739738","31691376996","31062376186","32192350328","34853853720","30339921697","28572097148","33800290175",
"전체","소재·부품·장비산업","수입액[$]","$","15533923734","15419227218","16478646041","16117703411","16051035988","15197962116","15817820178","14752792099","15262571915","16259827430","15609689395","14797988235","15950608898","13641092134","16006044439","16168949470","16090512083","14915552651","16320922312","15483705697","15331959591","17397456304","15942017098","15765770617","15124683714","14689001963","16559542971","17437974033","15999579505","15811161001","16770396109","14883106996","16498999155","16374754423","16048415944","17416798051","16269455608","14282750467","16697759078","16465669645","14398089542","15549227249","16159150992","14409822193","14727156678","15530622698","14535044935","14522344186","13212246396","12670300623","15252228583","14452509361","14044235389","14664946302","14521909485","15502278785","14712012729","14649674981","15511500672","16067039716","15043115770","14719598852","18392229327","16296550388","16971432772","17242215291","17242350241","18042601833","18118988187","15868495050","17442359194","17986500692","18258305907","16094907278","18668964627","17974193352","18015374849","17234318748","17344701483","16742488233","15970551623","17918793812","17225013688","16575828706","17226368740","13384254222","16544907446","17768684697","17155508893","15478336357","17043133916","15681697068","15337638538","15463849906","15168081099","16334504219","15196099190","13994013520","17923265918","15879766562","15384089057","16275146677","17342325930","15456684540","16706150410","16848703594","17253930755","19231681688","19107448177","17102171644","21607835324","21362271549","19704895151","20235944690","21481954574","20258182624","20401209579","20588034337","22097379320","24192142130","20831598855","19538836803","22627381836",
"아시아","전산업","수출액[$]","$","23745190192","25861715382","27042203441","24836676895","26371848084","26499484039","26347841544","25245218256","26832875743","28342603780","29583612052","27525700686","26367107570","24135236831","27952630551","26732444122","27851394705","26286992013","27201201474","26992285629","26598679289","28663516927","28300467191","27080601211","26130011655","25238329705","28554408891","28501798387","26198072443","25661749750","26999651977","26013704793","27703176286","28752269630","26633422224","27314837103","25424038911","21336951468","26041939394","26063077008","24145909151","25504877026","24968608139","23195045714","25519408286","25787329197","24795517784","24023575953","20480032705","20091891675","23292702251","23032528949","22788818651","24027629132","23597696545","23835881114","24686411443","25010829976","26924514355","26597466443","24126226374","25902007425","28798956009","26737466998","26707522463","27099839873","27557815368","28614345254","31952566718","27878593329","31437301626","31418176058","30778129799","27250150966","31921054887","31060635062","31885040097","32100312929","32557947482","33210516208","33958801723","34785951561","32838695669","28949033086","27646798803","24368380890","28264519553","29094102854","27517853923","25945890936","28175051092","27788651152","27640513543","28454703141","27374979505","28132651886","26889847679","24608457118","27082467584","22237274270","22338469398","24779716635","25423453459","24499583300","29071829347","26768928676","27877195815","30820184450","27733065304","26581441904","31392141500","30774099705","30849946535","31815741035","32557595420","32656169943","34575318472","33827993857","36346715452","37023197693","32740351186","31999826054","38000669174",
"아시아","전산업","수입액[$]","$","18220312420","18433708853","19946987738","18971147138","18423759290","18244097495","17754632448","17803602711","18277909006","19297209457","18651501855","17768182653","19166033171","16497587015","18673290301","19512095325","19113954967","17211648659","18324604148","17857204362","17892974053","19677165908","18414261211","18295000994","18300038899","16222480500","19085599654","19738649578","17589386065","18244019096","18767464536","17419338759","19157230380","19789873816","17904833897","19327838338","18306032518","16194874546","17645341555","17699104906","15811954325","16827775798","17404703670","16186512650","17033525244","18708683697","16496455806","16298980149","15042632698","14679563936","17482308307","16120286835","15827866777","16632657205","16383388418","17563209652","17394123846","17858400415","18320299462","18666933339","17868782057","17052950918","21001666640","18919374558","19027258754","19641358208","18610369969","19670970517","20784349706","18980817883","21158782253","20731865491","21182352992","18551737160","20953166169","20783731763","20729746202","20193530618","20824012944","20071288079","18939551556","23276634107","21605996799","20471722411","21669939907","16158854539","19910892494","21469100679","20448553421","19031746871","20720007244","19073629233","19234729558","20201736260","18843779297","19858831613","20084300142","15802216454","20517274426","19728782262","17899256299","18641720726","20173359461","18438039964","20152994745","20509070423","20884615909","23107716959","22891096309","20570553892","24469261488","25333542166","22917270365","24397365002","25244119532","25143622894","24970569336","25818413074","27607486829","28970294456","27999979637","24763254944","28624754007",
"아시아","소재·부품·장비산업","수출액[$]","$","13871908355","15072004500","15743288224","15116101001","15959065090","15681052756","16380691840","15902614341","16823735901","17036741737","17589601055","16612733962","16239013257","14893619682","16571874003","16923650469","17803541281","16174643034","17360836123","17188430544","17048284278","18413889570","17497627534","17556101241","15829753995","15434849230","17311638389","17461507431","16201824479","16479334486","16778151662","16477683428","17597550380","18416309886","17365266386","18315630409","17065191876","14955837172","17492619654","17489011675","16387661124","16697651150","16640815481","15665870059","16792213089","17129682672","16177025399","15910253329","13861503813","13322808758","15773110662","14516047810","15063715495","15567880223","15507074703","15479599541","16172144926","16272221356","16888439385","17110259027","15404720240","16156589240","17998656927","17378030354","17265169213","17615526578","17162652828","18118487784","20091605045","17687586905","19528983859","19041776114","19407890939","17176978846","20090774881","19437762749","21067253910","21039381642","21367674293","21559980632","21199967424","21889672690","20820651895","18489063616","17723698281","15518449623","18374364014","18688376427","17789411837","16549013844","18127513995","17408937251","17544377874","18175696348","17477004988","17330024638","16405593755","15727504339","17490699302","14899966993","14680753754","16275153034","16879624365","16324453436","18950165696","17973686896","18612301590","20226128077","18168703833","17082506044","19424888281","19658810224","19235311614","20076379949","20707653166","20941024022","21611534015","21050299216","22050301976","23160279431","18937807789","18421121325","21551772614",
"아시아","소재·부품·장비산업","수입액[$]","$","10103525032","10181576294","10979834781","10419595050","10432909109","9978149390","10350455251","9615369755","10297739342","10692490985","10495213424","9693131049","10359178597","8694447185","10550364094","10702003073","10455866524","9583463468","10567948576","9989439833","10164853043","11175259518","10288433563","9841124536","9800140968","9180780577","10731231427","11136202668","10199912328","10161852099","10643443411","9551118532","10702243532","10652962251","10407133858","11045696442","10413296168","9330920389","10580990019","10576739377","9293949420","9836447227","10303247583","9368792050","9865498407","10541387492","9273329229","9084353714","8239693487","8344575756","10082061210","9429668910","9121976515","9663290250","9628516297","10236220735","10038414789","9956331765","10464429524","10712860684","10047329648","9859651738","12305932672","11063742668","11224941454","11341171929","11212190914","11575499801","12063198231","10908030628","11831641082","12002851616","11959998573","10514926033","12346066882","11905384732","12122787632","11731791241","11901013080","11558066115","10717120287","12289892002","11826659280","11308234568","11529032938","8829450956","11367381564","12002214026","11467211210","10464556923","11565043515","10643451866","10412427485","10562300885","10206522203","10852717098","10381835486","9066722683","11909649961","10925946791","9930984770","10547793599","11664280716","10639319878","11311061004","11549091810","11702030183","12963278767","12670849074","11548885112","14024766116","14192427679","12804646501","13557118381","14280359248","13946666993","13864552760","14017932406","15662378798","16289331139","14539348744","13125467091","15131080513",
"일본","전산업","수출액[$]","$","3270842174","3503411607","3329166847","2751439767","3093617482","3402562013","3337717682","3179793894","2967153292","3291482280","3622014649","3046855254","3518915044","2900960556","2703276679","2430303577","2732790263","2824465569","2839173120","2762424162","2916580851","2987576992","3381553819","2664269482","2810869830","2607399996","2783089468","2717013724","2705134747","2563081096","2992685837","2520905828","2702707335","2888627157","2499017437","2393255279","2251306583","2000724388","2127216181","2380418820","2331637206","2230059347","2126238228","1870364846","2037366882","2138398052","2022536098","2060240639","1792002099","1696096821","2050548563","1776555240","2041330727","2150804229","2067444554","2010573951","2168024802","2103254471","2275226906","2223174096","2130047971","2044853150","2395932082","2108329954","2182625743","2350968919","2162170436","2107245781","2516087938","1847998975","2520013186","2449866992","2583914212","2446179743","2603449960","2482756392","2513782252","2578912716","2542258168","2409639571","2469036724","2764707751","2707330806","2426612069","2617332541","2296310001","2261652259","2277192076","2533489284","2255618857","2545211759","2243164653","2310566270","2372581195","2410613103","2296481406","2434952964","2265044812","2485052839","1984660364","1781736895","1849842809","1999257195","1761392723","2156620830","1924047355","2122869801","2332172653","2237046015","2191909157","2415077031","2489524820","2361626618","2597105443","2565013671","2522980082","2541017857","2614683864","2813250497","2712571429","2615793262","2470206790","2761732100",
"일본","전산업","수입액[$]","$","5243684814","5708287975","5883403962","5496773241","5290957142","5093984087","5267517558","5100299203","5326948366","5368786920","5339050448","5243386023","5033518925","4975625171","5334627331","5580422895","4917768287","4673539152","5117609245","4854957286","4901447001","5094237215","4707904738","4837697375","4025509437","4445635886","4744745038","4887821895","4327965578","4369146669","4633002295","4218520363","4694707986","4619033940","4344355844","4457867577","3827246849","3837614341","4383839034","4276097345","3503700385","4010832596","3945784891","3458587751","3708138864","3852568898","3340139750","3709283297","3088240601","3407324249","4204131475","3825930828","3635640570","3888941745","3977492457","4163665219","4233798404","4220758259","4291367588","4529300235","3759195779","4468456344","5157588800","4566854050","4380630210","4773363730","4458762879","4535866404","4925623410","4418583379","4731861067","4947939403","4485212876","4513248757","5226140866","4939589149","4422427759","4450259265","4585405682","4232367582","4181051010","4972817449","4322175788","4273053149","4050305075","3807446042","4315380987","4632880639","3715763883","3881637920","4203610340","3886996994","3822451270","3816085823","3523164293","3925129661","3163260348","3771978681","4390046094","3988576159","3104977500","3574090840","3862249204","3538571067","3872130237","3992664442","4054281539","4710209420","3947394976","4116807325","4834351877","4845078772","3967898497","4599343067","4536865223","4454302301","4649135416","4696430129","4863815885","5130741601","4453808226","4707979993","5270458885",
